app_id,app_name,developer,category_name,launch_date,has_free_plan,monthly_price_usd
1,ProShip Max,Astra Labs,orders and shipping,10/13/2018,No,49.99
2,EasyCart Tool,Peak Apps,REVIEWS AND RATINGS,2/12/2019,No,49.99
3,FreshSearch Pro,Helix Studios,Productivity,5/15/2020,Yes,
4,BrilliantSearch Pro,Beacon Digital,REVIEWS AND RATINGS,9/13/2018,No,19.99
5,BrilliantBuild Flow,Zenith Software,Marketing,9/16/2021,Yes,
6,BoostBox Lite,Atlas Studios,Customer Support,12/29/2019,Yes,
7,MasterStack Max,Fortis Studios,search and navigation,2/17/2020,Yes,
8,QuickEdit X,Astra Software,orders and shipping,2/14/2023,No,49.99
9,TopBox App,Astra Studios,orders and shipping,3/6/2022,No,14.99
10,UltimatePulse AI,PixelPerfect Apps,email marketing,8/13/2018,Yes,
11,BrilliantReview X,Cascade Digital,REVIEWS AND RATINGS,5/30/2019,No,99.99
12,MasterBox Pro,Beacon Tech,REVIEWS AND RATINGS,4/10/2022,Yes,
13,BrilliantCart App,Atlas Studios,REVIEWS AND RATINGS,5/7/2023,No,29.99
14,AceSync Tool,BlueRiver Labs,Loyalty and Rewards,4/24/2023,Yes,
15,RapidSales App,Ironwood Digital,REVIEWS AND RATINGS,12/5/2018,Yes,
16,PowerSync X,Ironwood Solutions,search and navigation,1/17/2023,No,4.99
17,SmartMind 360,Fortis Labs,Marketing,5/26/2018,No,4.99
18,FreshMind AI,Fortis Digital,SEO,4/13/2020,Yes,
19,MegaHub AI,Beacon Apps,Subscriptions,8/31/2021,No,4.99
20,UltimateHub App,Astra Digital,orders and shipping,11/26/2022,No,19.99
21,RapidShip Plus,Helix Labs,STORE DESIGN,4/12/2020,No,9.99
22,RapidForge App,Zenith Tech,orders and shipping,6/7/2023,Yes,
23,SuperEmail Pro,GoldStandard Digital,REVIEWS AND RATINGS,2/26/2023,No,9.99
24,EasyTrack X,Nimbus Labs,Loyalty and Rewards,5/2/2021,Yes,
25,BoostCart Lite,Compass Solutions,orders and shipping,6/28/2019,Yes,
26,EasyShip AI,Linear Software,Sales and Conversion,1/6/2021,Yes,
27,RapidSync Flow,Kestrel Group,Marketing,9/29/2021,No,14.99
28,UltimateSearch Studio,Linear Labs,Productivity,12/4/2019,Yes,
